State,Stand_Age,Stand_Origin,Forest_type_group,tC,ac,tC_ac
Oklahoma,61-80 years,Natural,Other hardwoods group,126523.00,2739.00,46.19
Oklahoma,61-80 years,Total,Other hardwoods group,126523.00,2739.00,46.19
Florida,0-20 years,Planted,Nonstocked,8045724.00,174081.00,46.22
Florida,Total,Planted,Nonstocked,8045724.00,174081.00,46.22
South Carolina,0-20 years,Natural,Nonstocked,5740502.00,124184.00,46.23
South Carolina,Total,Natural,Nonstocked,5740502.00,124184.00,46.23
Missouri,0-20 years,Natural,Nonstocked,2952204.00,63828.00,46.25
Missouri,0-20 years,Total,Nonstocked,2952204.00,63828.00,46.25
Missouri,Total,Natural,Nonstocked,2952204.00,63828.00,46.25
Missouri,Total,Total,Nonstocked,2952204.00,63828.00,46.25
Louisiana,0-20 years,Total,Longleaf_slash_pine_group,15923903.00,344236.00,46.26
South Carolina,0-20 years,Total,Nonstocked,6305147.00,136126.00,46.32
South Carolina,Total,Total,Nonstocked,6305147.00,136126.00,46.32
Louisiana,41-60 years,Planted,Oak_pine_group,278289.00,6005.00,46.34
Mississippi,0-20 years,Natural,Loblolly_shortleaf_pine_group,27697563.00,597564.00,46.35
South Carolina,Total,Planted,Oak_pine group,9928507.00,214191.00,46.35
Arkansas,Total,Planted,Total,168626216.00,3637196.00,46.36
North Carolina,0-20 years,Total,Nonstocked,131971688.00,-,46.37
North Carolina,Total,Total,Nonstocked,151758621.00,108929.00,46.37
Virginia,0-20 years,Planted,Nonstocked,491859.00,10608.00,46.37
Virginia,Total,Planted,Nonstocked,491859.00,10608.00,46.37
North Carolina,0-20 years,Natural,Nonstocked,53737396.00,-,46.40
North Carolina,Total,Natural,Nonstocked,142794113.00,108929.00,46.40
Louisiana,Total,Planted,Loblolly_shortleaf_pine_group,154914000.00,3336765.00,46.43
Kentucky,41-60 years,Natural,Other_eastern_softwoods_group,2765513.00,59542.00,46.45
Kentucky,41-60 years,Total,Other_eastern_softwoods_group,2765513.00,59542.00,46.45
Oklahoma,61-80 years,Natural,Exotic hardwoods group,357639.00,7691.00,46.50
Oklahoma,61-80 years,Total,Exotic hardwoods group,357639.00,7691.00,46.50
Texas,21-40 years,Natural,Oak_pine group,23654692.00,508447.00,46.52
Texas,61-80 years,Natural,Elm_ash_cottonwood group,25697559.00,552306.00,46.53
Texas,61-80 years,Total,Elm_ash_cottonwood group,25697559.00,552306.00,46.53
Florida,0-20 years,Total,Nonstocked,27511317.00,590991.00,46.55
Florida,Total,Total,Nonstocked,27511317.00,590991.00,46.55
Louisiana,Total,Total,Exotic_hardwoods_group,17728037.00,380552.00,46.59
Texas,Total,Total,Oak_pine group,82149194.00,1762822.00,46.60
Mississippi,Total,Natural,Other_eastern_softwoods_group,2439656.00,52334.00,46.62
Georgia,0-20 years,Natural,Nonstocked,11502410.00,246551.00,46.65
Georgia,Total,Natural,Nonstocked,11502410.00,246551.00,46.65
Texas,21-40 years,Natural,Exotic hardwoods group,3974809.00,85188.00,46.66
Texas,21-40 years,Total,Exotic hardwoods group,3974809.00,85188.00,46.66
Georgia,0-20 years,Total,Nonstocked,15750484.00,337516.00,46.67
Georgia,Total,Total,Nonstocked,15750484.00,337516.00,46.67
Texas,21-40 years,Total,Oak_pine group,24046008.00,515239.00,46.67
Florida,0-20 years,Natural,Nonstocked,19465593.00,416910.00,46.69
Florida,Total,Natural,Nonstocked,19465593.00,416910.00,46.69
Georgia,0-20 years,Planted,Nonstocked,4248074.00,90965.00,46.70
Georgia,Total,Planted,Nonstocked,4248074.00,90965.00,46.70
Mississippi,Total,Total,Other_eastern_softwoods_group,2518197.00,53911.00,46.71
Virginia,0-20 years,Total,Nonstocked,4886871.00,104491.00,46.77
Virginia,Total,Total,Nonstocked,4886871.00,104491.00,46.77
Alabama,61-80 years,Planted,Loblolly_shortleaf_pine_group,352725.00,7542.00,46.77
Alabama,61-80 years,Planted,Total,352725.00,7542.00,46.77
Mississippi,21-40 years,Natural,Exotic_hardwoods_group,1017874.00,21745.00,46.81
Mississippi,21-40 years,Total,Exotic_hardwoods_group,1017874.00,21745.00,46.81
Virginia,0-20 years,Natural,Nonstocked,4395013.00,93884.00,46.81
Virginia,Total,Natural,Nonstocked,4395013.00,93884.00,46.81
Louisiana,Total,Natural,Exotic_hardwoods_group,17188155.00,366725.00,46.87
South Carolina,0-20 years,Natural,Oak_pine group,16149090.00,344549.00,46.87
Oklahoma,41-60 years,Natural,Oak_pine group,14890507.00,317455.00,46.91
Oklahoma,41-60 years,Total,Oak_pine group,14890507.00,317455.00,46.91
Kentucky,61-80 years,Planted,Oak_hickory_group,79647.00,1697.00,46.92
Kentucky,61-80 years,Planted,Total,79647.00,1697.00,46.92
Kentucky,Total,Natural,Exotic_hardwoods_group,1472579.00,31345.00,46.98
Kentucky,Total,Total,Exotic_hardwoods_group,1472579.00,31345.00,46.98
Arkansas,41-60 years,Natural,Other_hardwoods_group,350666.00,7454.00,47.05
Arkansas,41-60 years,Total,Other_hardwoods_group,350666.00,7454.00,47.05
Missouri,21-40 years,Natural,Total,63821181.00,1355224.00,47.09
Arkansas,21-40 years,Total,Oak_pine_group,13360074.00,283035.00,47.20
Arkansas,61-80 years,Natural,Pinyon_juniper_group,358193.00,7587.00,47.21
Arkansas,61-80 years,Total,Pinyon_juniper_group,358193.00,7587.00,47.21
Mississippi,Total,Natural,Exotic_hardwoods_group,3150316.00,66670.00,47.25
Mississippi,Total,Total,Exotic_hardwoods_group,3150316.00,66670.00,47.25
South Carolina,0-20 years,Planted,Nonstocked,564645.00,11942.00,47.28
South Carolina,Total,Planted,Nonstocked,564645.00,11942.00,47.28
Louisiana,41-60 years,Natural,Other_hardwoods_group,382860.00,8094.00,47.30
Louisiana,41-60 years,Total,Other_hardwoods_group,382860.00,8094.00,47.30
Missouri,21-40 years,Total,Total,65888905.00,1391374.00,47.36
Oklahoma,81-100 years,Natural,Oak_hickory group,16295726.00,343862.00,47.39
Oklahoma,81-100 years,Total,Oak_hickory group,16614757.00,349960.00,47.48
Louisiana,0-20 years,Planted,Longleaf_slash_pine_group,13316744.00,280195.00,47.53
Kentucky,21-40 years,Natural,Oak_pine_group,5950909.00,125174.00,47.54
Kentucky,21-40 years,Total,Oak_pine_group,5950909.00,125174.00,47.54
Louisiana,81-100 years,Planted,Loblolly_shortleaf_pine_group,552594.00,11618.00,47.56
Arkansas,61-80 years,Natural,Other_eastern_softwoods_group,2684019.00,56390.00,47.60
Arkansas,61-80 years,Total,Other_eastern_softwoods_group,2684019.00,56390.00,47.60
Louisiana,Total,Natural,Oak_hickory_group,73314771.00,1538715.00,47.65
Virginia,0-20 years,Planted,Elm_ash_cottonwood group,343469.00,7206.00,47.66
Tennessee,21-40 years,Natural,Elm_ash_cottonwood_group,9544083.00,200066.00,47.70
Tennessee,21-40 years,Total,Elm_ash_cottonwood_group,9544083.00,200066.00,47.70
Arkansas,21-40 years,Natural,Oak_pine_group,11945960.00,250396.00,47.71
Missouri,0-20 years,Planted,White_red_jack pine group,24391.00,511.00,47.75
Missouri,0-20 years,Total,White_red_jack pine group,24391.00,511.00,47.75
Georgia,0-20 years,Natural,White_red_jack pine group,342409.00,7154.00,47.86
Georgia,0-20 years,Total,White_red_jack pine group,342409.00,7154.00,47.86
Virginia,61-80 years,Natural,Other eastern softwoods group,147796.00,3086.00,47.89
Virginia,61-80 years,Total,Other eastern softwoods group,147796.00,3086.00,47.89
Texas,Total,Natural,Oak_pine group,77400206.00,1612880.00,47.99
Oklahoma,21-40 years,Natural,Loblolly_shortleaf pine group,7997491.00,166490.00,48.04
Oklahoma,41-60 years,Natural,Elm_ash_cottonwood group,23077020.00,480156.00,48.06
Oklahoma,41-60 years,Total,Elm_ash_cottonwood group,23077020.00,480156.00,48.06
Tennessee,Total,Planted,Total,33998496.00,706204.00,48.14
Tennessee,41-60 years,Natural,Other_eastern_softwoods_group,4872604.00,101156.00,48.17
Tennessee,41-60 years,Total,Other_eastern_softwoods_group,4872604.00,101156.00,48.17
Florida,Total,Natural,Other_eastern_softwoods_group,1062993.00,22047.00,48.21
Florida,Total,Total,Other_eastern_softwoods_group,1062993.00,22047.00,48.21
Virginia,0-20 years,Planted,White_red_jack pine group,303126.00,6278.00,48.29
Texas,21-40 years,Natural,Oak_gum_cypress group,21305788.00,441002.00,48.31
Texas,81-100 years,Natural,Elm_ash_cottonwood group,4245859.00,87837.00,48.34
Texas,81-100 years,Total,Elm_ash_cottonwood group,4245859.00,87837.00,48.34
Arkansas,Total,Planted,Loblolly_shortleaf_pine_group,152437466.00,3152530.00,48.35
Oklahoma,Total,Total,Loblolly_shortleaf pine group,58908934.00,1215338.00,48.47
Texas,21-40 years,Total,Oak_gum_cypress group,21883187.00,450162.00,48.61
Arkansas,61-80 years,Natural,Other_hardwoods_group,214502.00,4409.00,48.65
Arkansas,61-80 years,Total,Other_hardwoods_group,214502.00,4409.00,48.65
Florida,Total,Total,Oak_hickory_group,130681769.00,2685609.00,48.66
Missouri,Total,Natural,Other eastern softwoods group,18531874.00,380420.00,48.71
Missouri,Total,Total,Other eastern softwoods group,18531874.00,380420.00,48.71
Alabama,Total,Planted,Oak_gum_cypress_group,2161367.00,44330.00,48.76
Arkansas,Total,Natural,Pinyon_juniper_group,761595.00,15619.00,48.76
Arkansas,Total,Total,Pinyon_juniper_group,761595.00,15619.00,48.76
Oklahoma,61-80 years,Natural,Total,126036969.00,2582897.00,48.80
Oklahoma,61-80 years,Total,Total,126036969.00,2582897.00,48.80
Alabama,Total,Planted,Longleaf_slash_pine_group,23458439.00,480006.00,48.87
Louisiana,21-40 years,Total,Oak_hickory_group,14830379.00,302601.00,49.01
Louisiana,21-40 years,Natural,Oak_hickory_group,14781449.00,301209.00,49.07
Florida,Total,Natural,Oak_hickory_group,127723513.00,2602418.00,49.08
Alabama,Total,Planted,Total,361663272.00,7357648.00,49.15
Arkansas,81-100 years,Natural,Other_eastern_softwoods_group,291480.00,5922.00,49.22
Arkansas,81-100 years,Total,Other_eastern_softwoods_group,291480.00,5922.00,49.22
Georgia,61-80 years,Planted,Loblolly_shortleaf pine group,146981.00,2981.00,49.30
Louisiana,Total,Total,Elm_ash_cottonwood_group,76167253.00,1543257.00,49.35
Oklahoma,21-40 years,Planted,Oak_pine group,291025.00,5886.00,49.44
Florida,0-20 years,Natural,Elm_ash_cottonwood_group,3497892.00,70676.00,49.49
Florida,0-20 years,Total,Elm_ash_cottonwood_group,3497892.00,70676.00,49.49
Florida,21-40 years,Planted,Oak_pine_group,3262152.00,65804.00,49.57
Kentucky,21-40 years,Natural,Exotic_hardwoods_group,875435.00,17638.00,49.63
Kentucky,21-40 years,Total,Exotic_hardwoods_group,875435.00,17638.00,49.63
Tennessee,21-40 years,Total,Oak_pine_group,8142740.00,163920.00,49.68
Virginia,0-20 years,Total,Total,154945059.00,3113835.00,49.76
Tennessee,0-20 years,Natural,Maple_beech_birch_group,756611.00,15190.00,49.81
Tennessee,0-20 years,Total,Maple_beech_birch_group,756611.00,15190.00,49.81
Mississippi,0-20 years,Planted,Other_eastern_softwoods_group,78541.00,1577.00,49.81
Mississippi,Total,Planted,Other_eastern_softwoods_group,78541.00,1577.00,49.81
Missouri,41-60 years,Planted,Elm_ash_cottonwood group,250625.00,5020.00,49.92
Tennessee,21-40 years,Natural,Oak_pine_group,7886540.00,157764.00,49.99
Florida,0-20 years,Natural,Loblolly_shortleaf_pine_group,7892078.00,157691.00,50.05
Arkansas,21-40 years,Natural,Total,107513980.00,2146329.00,50.09
Florida,41-60 years,Natural,Oak_hickory_group,30488920.00,607989.00,50.15
Florida,41-60 years,Total,Oak_hickory_group,30500148.00,608059.00,50.16
Tennessee,21-40 years,Natural,Oak_hickory_group,39221747.00,781739.00,50.17
Kentucky,21-40 years,Natural,Loblolly_shortleaf_pine_group,3371669.00,67199.00,50.17
Tennessee,21-40 years,Total,Oak_hickory_group,39522104.00,786445.00,50.25
Arkansas,41-60 years,Natural,Oak_hickory_group,104016873.00,2069810.00,50.25
Arkansas,41-60 years,Total,Oak_hickory_group,104016873.00,2069810.00,50.25
Oklahoma,81-100 years,Natural,Total,21260014.00,423045.00,50.25
Kentucky,21-40 years,Total,Loblolly_shortleaf_pine_group,3588434.00,71364.00,50.28
Oklahoma,81-100 years,Total,Total,21579045.00,429143.00,50.28
Mississippi,21-40 years,Natural,Elm_ash_cottonwood_group,15566168.00,308659.00,50.43
Mississippi,21-40 years,Total,Elm_ash_cottonwood_group,15566168.00,308659.00,50.43
Tennessee,21-40 years,Natural,Total,71259658.00,1412719.00,50.44
Missouri,41-60 years,Natural,Other eastern softwoods group,5861245.00,116178.00,50.45
Missouri,41-60 years,Total,Other eastern softwoods group,5861245.00,116178.00,50.45
Oklahoma,81-100 years,Natural,Elm_ash_cottonwood group,816401.00,16158.00,50.53
Oklahoma,81-100 years,Total,Elm_ash_cottonwood group,816401.00,16158.00,50.53
Missouri,21-40 years,Natural,Loblolly_shortleaf pine group,578608.00,11449.00,50.54
Missouri,0-20 years,Planted,Total,1956207.00,38661.00,50.60
Mississippi,21-40 years,Natural,Other_hardwoods_group,162038.00,3201.00,50.63
Tennessee,81-100 years,Natural,Other_eastern_softwoods_group,524811.00,10364.00,50.64
Tennessee,81-100 years,Total,Other_eastern_softwoods_group,524811.00,10364.00,50.64
North Carolina,0-20 years,Natural,Total,39643975.00,526189.00,50.64
Kentucky,21-40 years,Natural,Elm_ash_cottonwood_group,6077652.00,119962.00,50.66
Kentucky,21-40 years,Total,Elm_ash_cottonwood_group,6077652.00,119962.00,50.66
Alabama,21-40 years,Natural,Exotic_hardwoods_group,616594.00,12154.00,50.73
Alabama,21-40 years,Total,Exotic_hardwoods_group,616594.00,12154.00,50.73
Oklahoma,61-80 years,Natural,Oak_pine group,9980344.00,196588.00,50.77
Oklahoma,61-80 years,Total,Oak_pine group,9980344.00,196588.00,50.77
Alabama,21-40 years,Natural,White_red_jack_pine_group,307599.00,6058.00,50.77
Alabama,21-40 years,Total,White_red_jack_pine_group,307599.00,6058.00,50.77
Louisiana,Total,Natural,Elm_ash_cottonwood_group,73113656.00,1438459.00,50.83
Texas,41-60 years,Natural,Exotic hardwoods group,1125035.00,22106.00,50.89
Texas,41-60 years,Total,Exotic hardwoods group,1125035.00,22106.00,50.89
Kentucky,21-40 years,Natural,Maple_beech_birch_group,3869939.00,75934.00,50.96
Kentucky,21-40 years,Total,Maple_beech_birch_group,3869939.00,75934.00,50.96
Alabama,Total,Planted,Loblolly_shortleaf_pine_group,309854770.00,6079684.00,50.97
Tennessee,Total,Planted,Loblolly_shortleaf_pine_group,28142276.00,552135.00,50.97
Missouri,41-60 years,Natural,Oak_pine group,11172915.00,218746.00,51.08
Arkansas,Total,Total,Oak_hickory_group,387179468.00,7574592.00,51.12
Georgia,21-40 years,Total,Oak_hickory group,46969699.00,917114.00,51.21
Mississippi,21-40 years,Planted,Oak_hickory_group,1338384.00,26108.00,51.26
Arkansas,Total,Natural,Oak_hickory_group,384398097.00,7475623.00,51.42
Missouri,41-60 years,Total,Oak_pine group,11465668.00,222808.00,51.46
Alabama,21-40 years,Total,Oak_hickory_group,64980318.00,1262275.00,51.48
Georgia,21-40 years,Natural,Oak_hickory group,45645865.00,884144.00,51.63
Mississippi,21-40 years,Total,Oak_hickory_group,52572515.00,1015788.00,51.76
Mississippi,21-40 years,Natural,Oak_hickory_group,51234131.00,989679.00,51.77
Alabama,21-40 years,Natural,Oak_hickory_group,64570983.00,1247062.00,51.78
Tennessee,21-40 years,Total,Total,81809526.00,1578287.00,51.83
Virginia,41-60 years,Natural,Other eastern softwoods group,1371139.00,26450.00,51.84
Virginia,41-60 years,Total,Other eastern softwoods group,1371139.00,26450.00,51.84
Mississippi,21-40 years,Total,Other_hardwoods_group,480842.00,9260.00,51.93
Georgia,0-20 years,Natural,Total,210279692.00,4045504.00,51.98
Kentucky,21-40 years,Planted,Loblolly_shortleaf_pine_group,216765.00,4165.00,52.05
Kentucky,Total,Total,Oak_pine_group,26868676.00,515138.00,52.16
Tennessee,21-40 years,Natural,Other_hardwoods_group,24768.00,474.00,52.23
Tennessee,21-40 years,Total,Other_hardwoods_group,24768.00,474.00,52.23
North Carolina,0-20 years,Total,Total,42496677.00,693594.00,52.23
Texas,81-100 years,Natural,Oak_pine group,2046835.00,39143.00,52.29
Texas,81-100 years,Total,Oak_pine group,2046835.00,39143.00,52.29
Oklahoma,81-100 years,Planted,Oak_hickory group,319031.00,6098.00,52.31
Oklahoma,81-100 years,Planted,Total,319031.00,6098.00,52.31
Texas,Total,Total,Oak_gum_cypress group,110958144.00,2118487.00,52.38
Kentucky,21-40 years,Natural,Oak_gum_cypress_group,427296.00,8146.00,52.45
Kentucky,21-40 years,Total,Oak_gum_cypress_group,427296.00,8146.00,52.45
Virginia,Total,Planted,Elm_ash_cottonwood group,676897.00,12902.00,52.46
Texas,41-60 years,Natural,Oak_gum_cypress group,32107314.00,611993.00,52.46
Texas,41-60 years,Total,Oak_gum_cypress group,32107314.00,611993.00,52.46
Kentucky,Total,Natural,Oak_pine_group,26709936.00,508930.00,52.48
Florida,0-20 years,Total,Loblolly_shortleaf_pine_group,38041966.00,724847.00,52.48
Texas,Total,Natural,Oak_gum_cypress group,109727369.00,2086855.00,52.58
Virginia,Total,Planted,Oak_pine group,14459921.00,274961.00,52.59
Mississippi,21-40 years,Planted,Other_hardwoods_group,318804.00,6059.00,52.62
Mississippi,Total,Planted,Other_hardwoods_group,318804.00,6059.00,52.62
Florida,21-40 years,Total,Oak_pine_group,21905443.00,416069.00,52.65
Missouri,41-60 years,Natural,Oak_hickory group,147691719.00,2800456.00,52.74
Missouri,41-60 years,Total,Oak_hickory group,147691719.00,2800456.00,52.74
Mississippi,21-40 years,Planted,Oak_gum_cypress_group,1860455.00,35240.00,52.79
Texas,Total,Total,Loblolly_shortleaf pine group,288593106.00,5453559.00,52.92
Arkansas,Total,Total,Oak_pine_group,100799296.00,1902649.00,52.98
Arkansas,Total,Total,Elm_ash_cottonwood_group,51907189.00,979300.00,53.00
Louisiana,Total,Total,Loblolly_shortleaf_pine_group,281696199.00,5313853.00,53.01
Florida,0-20 years,Natural,Total,112194234.00,2115433.00,53.04
Arkansas,41-60 years,Planted,Oak_pine_group,151099.00,2848.00,53.05
Kentucky,Total,Total,Loblolly_shortleaf_pine_group,9794145.00,184546.00,53.07
Missouri,0-20 years,Natural,Elm_ash_cottonwood group,1781833.00,33557.00,53.10
Oklahoma,Total,Natural,Loblolly_shortleaf pine group,31389914.00,590913.00,53.12
Kentucky,41-60 years,Natural,Oak_pine_group,13163587.00,247686.00,53.15
Kentucky,41-60 years,Total,Oak_pine_group,13163587.00,247686.00,53.15
Florida,0-20 years,Planted,Loblolly_shortleaf_pine_group,30149888.00,567156.00,53.16
Florida,21-40 years,Natural,Oak_pine_group,18643291.00,350264.00,53.23
Texas,41-60 years,Natural,Oak_pine group,25922929.00,486136.00,53.32
Texas,41-60 years,Total,Oak_pine group,25922929.00,486136.00,53.32
Oklahoma,21-40 years,Total,Loblolly_shortleaf pine group,21859513.00,409472.00,53.38
Arkansas,81-100 years,Planted,Loblolly_shortleaf_pine_group,271075.00,5077.00,53.40
Arkansas,81-100 years,Planted,Total,271075.00,5077.00,53.40
Alabama,21-40 years,Natural,Elm_ash_cottonwood_group,9122806.00,170831.00,53.40
Alabama,21-40 years,Total,Elm_ash_cottonwood_group,9214204.00,172352.00,53.46
Oklahoma,100+ years,Natural,Total,1261899.00,23600.00,53.47
Oklahoma,100+ years,Total,Total,1261899.00,23600.00,53.47
South Carolina,0-20 years,Natural,Elm_ash_cottonwood group,8855454.00,165403.00,53.54
South Carolina,0-20 years,Total,Elm_ash_cottonwood group,8855454.00,165403.00,53.54
Oklahoma,41-60 years,Natural,Loblolly_shortleaf pine group,9814203.00,183211.00,53.57
Arkansas,81-100 years,Natural,Pinyon_juniper_group,344310.00,6426.00,53.58
Arkansas,81-100 years,Total,Pinyon_juniper_group,344310.00,6426.00,53.58
Mississippi,Total,Planted,Total,327222173.00,6104206.00,53.61
South Carolina,0-20 years,Planted,Total,82809571.00,1544381.00,53.62
Mississippi,41-60 years,Natural,Other_eastern_softwoods_group,933365.00,17401.00,53.64
Mississippi,41-60 years,Total,Other_eastern_softwoods_group,933365.00,17401.00,53.64
Mississippi,21-40 years,Natural,Other_eastern_softwoods_group,1181702.00,22028.00,53.65
Mississippi,21-40 years,Total,Other_eastern_softwoods_group,1181702.00,22028.00,53.65
Oklahoma,41-60 years,Total,Loblolly_shortleaf pine group,10359954.00,193076.00,53.66
Alabama,Total,Total,Oak_hickory_group,363932407.00,6771421.00,53.75
Kentucky,81-100 years,Natural,Exotic_hardwoods_group,85421.00,1589.00,53.76
Kentucky,81-100 years,Total,Exotic_hardwoods_group,85421.00,1589.00,53.76
Arkansas,21-40 years,Total,Total,172565677.00,3209362.00,53.77
Mississippi,Total,Total,Elm_ash_cottonwood_group,63888222.00,1187466.00,53.80
Arkansas,Total,Natural,Elm_ash_cottonwood_group,50941237.00,946219.00,53.84
South Carolina,0-20 years,Total,Total,222050618.00,4123787.00,53.85
Alabama,Total,Total,Loblolly_shortleaf_pine_group,504616933.00,9358891.00,53.92
South Carolina,0-20 years,Natural,Total,139241047.00,2579406.00,53.98
Kentucky,21-40 years,Natural,White_red_jack_pine_group,607562.00,11252.00,54.00
South Carolina,21-40 years,Natural,Oak_hickory group,25014927.00,462966.00,54.03
Alabama,Total,Total,Oak_pine_group,148372933.00,2743108.00,54.09
Mississippi,Total,Natural,Elm_ash_cottonwood_group,63161666.00,1167464.00,54.10
South Carolina,21-40 years,Total,Oak_hickory group,25152822.00,464565.00,54.14
Tennessee,61-80 years,Natural,Other_eastern_softwoods_group,2706468.00,49965.00,54.17
Tennessee,61-80 years,Total,Other_eastern_softwoods_group,2706468.00,49965.00,54.17
Kentucky,Total,Natural,Loblolly_shortleaf_pine_group,9359596.00,172557.00,54.24
Louisiana,41-60 years,Natural,Exotic_hardwoods_group,2207055.00,40629.00,54.32
Louisiana,41-60 years,Total,Exotic_hardwoods_group,2207055.00,40629.00,54.32
Texas,61-80 years,Natural,Exotic hardwoods group,1318584.00,24227.00,54.43
Texas,61-80 years,Total,Exotic hardwoods group,1318584.00,24227.00,54.43
Kentucky,81-100 years,Natural,Loblolly_shortleaf_pine_group,351925.00,6465.00,54.43
Kentucky,81-100 years,Total,Loblolly_shortleaf_pine_group,351925.00,6465.00,54.43
Louisiana,Total,Planted,Longleaf_slash_pine_group,24829667.00,455902.00,54.46
Louisiana,21-40 years,Total,Oak_gum_cypress_group,30333217.00,556476.00,54.51
Tennessee,81-100 years,Natural,Exotic_hardwoods_group,82576.00,1513.00,54.57
Tennessee,81-100 years,Total,Exotic_hardwoods_group,82576.00,1513.00,54.57
Tennessee,Total,Total,Elm_ash_cottonwood_group,45950399.00,841364.00,54.61
Missouri,0-20 years,Total,Elm_ash_cottonwood group,3162979.00,57880.00,54.65
Kentucky,21-40 years,Total,White_red_jack_pine_group,616405.00,11270.00,54.69
Missouri,Total,Natural,Oak_pine group,53321772.00,974914.00,54.69
Tennessee,Total,Total,Loblolly_shortleaf_pine_group,59906050.00,1095173.00,54.70
Texas,21-40 years,Planted,Loblolly_shortleaf pine group,47103384.00,861077.00,54.70
Alabama,Total,Natural,Oak_hickory_group,357144829.00,6526869.00,54.72
Tennessee,Total,Planted,White_red_jack_pine_group,290280.00,5302.00,54.75
Mississippi,21-40 years,Natural,Oak_pine_group,28333003.00,516916.00,54.81
Arkansas,Total,Total,Total,1038461308.00,18945404.00,54.81
Tennessee,Total,Natural,Elm_ash_cottonwood_group,45800216.00,835534.00,54.82
Louisiana,21-40 years,Natural,Oak_gum_cypress_group,29890302.00,545169.00,54.83
Missouri,Total,Total,Oak_pine group,54055063.00,985860.00,54.83
Texas,61-80 years,Natural,Oak_pine group,14169888.00,258417.00,54.83
Texas,61-80 years,Total,Oak_pine group,14169888.00,258417.00,54.83
Alabama,21-40 years,Natural,Oak_pine_group,32275368.00,587976.00,54.89
Texas,21-40 years,Planted,Total,49940305.00,909435.00,54.91
Louisiana,Total,Total,Total,827354332.00,15048767.00,54.98
North Carolina,21-40 years,Planted,Oak_pine group,-,-,54.98
Mississippi,Total,Total,Oak_hickory_group,240733821.00,4378414.00,54.98
South Carolina,0-20 years,Planted,Loblolly_shortleaf pine group,65478363.00,1189636.00,55.04
North Carolina,0-20 years,Planted,Total,2852703.00,167405.00,55.05
Virginia,21-40 years,Natural,Maple_beech_birch group,896059.00,16267.00,55.09
Virginia,21-40 years,Total,Maple_beech_birch group,896059.00,16267.00,55.09
North Carolina,0-20 years,Natural,Elm_ash_cottonwood group,25526741.00,1080518.00,55.10
North Carolina,0-20 years,Total,Elm_ash_cottonwood group,28147479.00,1179399.00,55.12
Louisiana,41-60 years,Natural,Oak_hickory_group,19225253.00,348741.00,55.13
Louisiana,41-60 years,Total,Oak_hickory_group,19225253.00,348741.00,55.13
Arkansas,Total,Natural,Oak_pine_group,94520783.00,1714515.00,55.13
Alabama,21-40 years,Total,Oak_pine_group,36446887.00,660763.00,55.16
Louisiana,Total,Total,Oak_pine_group,63061616.00,1140426.00,55.30
Mississippi,21-40 years,Total,Oak_pine_group,32735261.00,591905.00,55.30
Oklahoma,41-60 years,Planted,Loblolly_shortleaf pine group,545751.00,9865.00,55.32
Alabama,Total,Total,Total,1278635373.00,23104630.00,55.34
Alabama,81-100 years,Natural,Other_eastern_softwoods_group,441166.00,7964.00,55.39
Alabama,81-100 years,Total,Other_eastern_softwoods_group,441166.00,7964.00,55.39
Virginia,0-20 years,Planted,Total,80608543.00,1454478.00,55.42
Georgia,0-20 years,Total,Total,459443998.00,8273996.00,55.53
Missouri,Total,Total,Oak_hickory group,675753513.00,12160772.00,55.57
Missouri,Total,Natural,Oak_hickory group,674734728.00,12135327.00,55.60
Missouri,Total,Planted,Elm_ash_cottonwood group,1631771.00,29344.00,55.61
Missouri,41-60 years,Natural,Total,205438800.00,3687738.00,55.71
Missouri,41-60 years,Total,Total,208664851.00,3743761.00,55.74
South Carolina,0-20 years,Total,Loblolly_shortleaf pine group,108568722.00,1947770.00,55.74
Oklahoma,41-60 years,Natural,Maple_beech_birch group,485557.00,8710.00,55.75
Oklahoma,41-60 years,Total,Maple_beech_birch group,485557.00,8710.00,55.75
Tennessee,100+ years,Natural,Other_hardwoods_group,92663.00,1661.00,55.77
Tennessee,100+ years,Total,Other_hardwoods_group,92663.00,1661.00,55.77
North Carolina,0-20 years,Planted,Elm_ash_cottonwood group,2620738.00,98881.00,55.79
North Carolina,Total,Planted,Elm_ash_cottonwood group,-,5427.00,55.79
Missouri,61-80 years,Natural,Other eastern softwoods group,5129634.00,91939.00,55.79
Missouri,61-80 years,Total,Other eastern softwoods group,5129634.00,91939.00,55.79
Georgia,0-20 years,Planted,Loblolly_shortleaf pine group,117395073.00,2103963.00,55.80
Arkansas,Total,Total,Loblolly_shortleaf_pine_group,336404900.00,6016346.00,55.92
Missouri,41-60 years,Planted,Loblolly_shortleaf pine group,2395353.00,42836.00,55.92
Louisiana,21-40 years,Natural,Exotic_hardwoods_group,5124093.00,91622.00,55.93
Louisiana,21-40 years,Total,Exotic_hardwoods_group,5124093.00,91622.00,55.93
Tennessee,Total,Natural,Exotic_hardwoods_group,2470483.00,44164.00,55.94
Tennessee,Total,Total,Exotic_hardwoods_group,2470483.00,44164.00,55.94
Missouri,61-80 years,Total,Oak_hickory group,253895685.00,4532628.00,56.02
Missouri,61-80 years,Natural,Oak_hickory group,253808239.00,4530368.00,56.02
Mississippi,Total,Natural,Oak_hickory_group,234719684.00,4189504.00,56.03
Mississippi,Total,Planted,Loblolly_shortleaf_pine_group,286344092.00,5110216.00,56.03
