State,Stand_Age,Stand_Origin,Forest_type_group,tC,ac,tC_ac
Oklahoma,Total,Natural,Other eastern softwoods group,16766796.00,544878.00,30.77
Oklahoma,Total,Total,Other eastern softwoods group,16864001.00,547210.00,30.82
Missouri,Total,Natural,Other hardwoods group,1062551.00,34443.00,30.85
Missouri,Total,Total,Other hardwoods group,1062551.00,34443.00,30.85
Tennessee,0-20 years,Natural,Nonstocked,1389492.00,45030.00,30.86
Tennessee,0-20 years,Total,Nonstocked,1389492.00,45030.00,30.86
Tennessee,Total,Natural,Nonstocked,1389492.00,45030.00,30.86
Tennessee,Total,Total,Nonstocked,1389492.00,45030.00,30.86
Arkansas,0-20 years,Planted,Oak_pine_group,4713300.00,152647.00,30.88
Louisiana,0-20 years,Planted,Oak_gum_cypress_group,6639228.00,213639.00,31.08
Georgia,0-20 years,Planted,Oak_hickory group,5125812.00,164304.00,31.20
Missouri,0-20 years,Natural,Oak_pine group,992660.00,31808.00,31.21
Missouri,0-20 years,Total,Oak_pine group,992660.00,31808.00,31.21
Texas,0-20 years,Natural,Elm_ash_cottonwood group,13352137.00,426216.00,31.33
Texas,0-20 years,Planted,Longleaf_slash pine group,6607.00,211.00,31.33
Missouri,21-40 years,Natural,Other hardwoods group,235870.00,7527.00,31.34
Missouri,21-40 years,Total,Other hardwoods group,235870.00,7527.00,31.34
Arkansas,0-20 years,Total,Elm_ash_cottonwood_group,6216258.00,198279.00,31.35
Texas,0-20 years,Total,Elm_ash_cottonwood group,13412111.00,427745.00,31.36
Alabama,0-20 years,Total,Oak_hickory_group,57173298.00,1822270.00,31.37
Mississippi,0-20 years,Total,Oak_hickory_group,32210017.00,1023960.00,31.46
Alabama,0-20 years,Planted,Exotic_hardwoods_group,45484.00,1445.00,31.48
Alabama,Total,Planted,Exotic_hardwoods_group,45484.00,1445.00,31.48
Arkansas,0-20 years,Natural,Exotic_hardwoods_group,7564.00,240.00,31.48
Arkansas,0-20 years,Total,Exotic_hardwoods_group,7564.00,240.00,31.48
Arkansas,Total,Natural,Exotic_hardwoods_group,7564.00,240.00,31.48
Arkansas,Total,Total,Exotic_hardwoods_group,7564.00,240.00,31.48
Louisiana,Total,Planted,Oak_gum_cypress_group,7082143.00,224946.00,31.48
Texas,0-20 years,Natural,Tropical hardwoods group,196014.00,6221.00,31.51
Texas,0-20 years,Total,Tropical hardwoods group,196014.00,6221.00,31.51
Texas,Total,Natural,Tropical hardwoods group,196014.00,6221.00,31.51
Texas,Total,Total,Tropical hardwoods group,196014.00,6221.00,31.51
Georgia,0-20 years,Natural,Other eastern softwoods group,183945.00,5836.00,31.52
Georgia,0-20 years,Total,Other eastern softwoods group,183945.00,5836.00,31.52
Texas,0-20 years,Natural,Total,429839442.00,13614020.00,31.57
North Carolina,21-40 years,Natural,Other eastern softwoods group,1092929.00,6070.00,31.60
North Carolina,21-40 years,Total,Other eastern softwoods group,1092929.00,6070.00,31.60
Texas,Total,Planted,Oak_pine group,4748989.00,149942.00,31.67
Kentucky,0-20 years,Natural,Maple_beech_birch_group,561892.00,17720.00,31.71
Kentucky,0-20 years,Total,Maple_beech_birch_group,561892.00,17720.00,31.71
Kentucky,0-20 years,Total,Loblolly_shortleaf_pine_group,1000517.00,31519.00,31.74
Arkansas,0-20 years,Natural,Elm_ash_cottonwood_group,5250305.00,165197.00,31.78
Mississippi,Total,Planted,Oak_hickory_group,6014137.00,188911.00,31.84
Kentucky,0-20 years,Natural,Oak_pine_group,721041.00,22614.00,31.88
Alabama,0-20 years,Natural,Oak_hickory_group,50795055.00,1592932.00,31.89
Florida,0-20 years,Planted,Oak_hickory_group,2011449.00,62904.00,31.98
Texas,21-40 years,Natural,Oak_hickory group,86173568.00,2689246.00,32.04
Mississippi,0-20 years,Natural,Oak_hickory_group,27711826.00,864189.00,32.07
Kentucky,0-20 years,Planted,Total,1469214.00,45794.00,32.08
Texas,21-40 years,Total,Oak_hickory group,86545949.00,2697397.00,32.09
North Carolina,21-40 years,Natural,Aspen_birch group,3051179.00,-,32.09
North Carolina,21-40 years,Total,Aspen_birch group,6315055.00,-,32.09
North Carolina,Total,Natural,Aspen_birch group,499734310.00,2061613.00,32.09
North Carolina,Total,Total,Aspen_birch group,502587012.00,2266633.00,32.09
Tennessee,0-20 years,Planted,Oak_gum_cypress_group,373597.00,11569.00,32.29
Tennessee,Total,Planted,Oak_gum_cypress_group,373597.00,11569.00,32.29
Kentucky,0-20 years,Planted,White_red_jack_pine_group,155864.00,4825.00,32.30
Kentucky,0-20 years,Total,White_red_jack_pine_group,155864.00,4825.00,32.30
Texas,0-20 years,Total,Total,511072075.00,15800458.00,32.35
Tennessee,0-20 years,Total,Oak_hickory_group,30161885.00,930948.00,32.40
Texas,61-80 years,Natural,Pinyon_juniper group,62896237.00,1935254.00,32.50
Texas,61-80 years,Total,Pinyon_juniper group,62896237.00,1935254.00,32.50
Oklahoma,41-60 years,Natural,Pinyon_juniper group,2055580.00,63012.00,32.62
Oklahoma,41-60 years,Total,Pinyon_juniper group,2055580.00,63012.00,32.62
Georgia,Total,Planted,Oak_hickory group,6777987.00,206475.00,32.83
Tennessee,0-20 years,Natural,Oak_hickory_group,29083998.00,884894.00,32.87
Oklahoma,21-40 years,Natural,Maple_beech_birch group,208872.00,6348.00,32.91
Oklahoma,21-40 years,Total,Maple_beech_birch group,208872.00,6348.00,32.91
Oklahoma,0-20 years,Natural,Other hardwoods group,109393.00,3312.00,33.03
Oklahoma,0-20 years,Total,Other hardwoods group,109393.00,3312.00,33.03
Kentucky,0-20 years,Natural,Loblolly_shortleaf_pine_group,782733.00,23695.00,33.03
Oklahoma,0-20 years,Planted,Total,16224773.00,490180.00,33.10
Alabama,0-20 years,Natural,Other_hardwoods_group,51106.00,1543.00,33.12
Alabama,0-20 years,Total,Other_hardwoods_group,51106.00,1543.00,33.12
Arkansas,0-20 years,Total,Oak_pine_group,11150672.00,336321.00,33.15
Alabama,0-20 years,Planted,Oak_pine_group,11727375.00,352884.00,33.23
Arkansas,Total,Planted,Oak_pine_group,6278513.00,188134.00,33.37
Oklahoma,0-20 years,Natural,Woodland hardwoods group,5324877.00,159521.00,33.38
Oklahoma,0-20 years,Total,Woodland hardwoods group,5324877.00,159521.00,33.38
Kentucky,Total,Planted,Oak_hickory_group,480194.00,14381.00,33.39
Oklahoma,21-40 years,Natural,Oak_hickory group,47279884.00,1414684.00,33.42
Mississippi,0-20 years,Planted,Oak_gum_cypress_group,7134745.00,213440.00,33.43
Oklahoma,21-40 years,Total,Oak_hickory group,47751084.00,1425344.00,33.50
Texas,0-20 years,Planted,Exotic hardwoods group,275169.00,8198.00,33.57
Texas,Total,Planted,Exotic hardwoods group,275169.00,8198.00,33.57
Arkansas,0-20 years,Natural,Total,53978673.00,1603959.00,33.65
Louisiana,0-20 years,Total,Elm_ash_cottonwood_group,14265350.00,423540.00,33.68
Oklahoma,0-20 years,Natural,Exotic hardwoods group,628359.00,18632.00,33.73
Oklahoma,0-20 years,Total,Exotic hardwoods group,628359.00,18632.00,33.73
Texas,0-20 years,Natural,Woodland hardwoods group,184816717.00,5467754.00,33.80
Texas,0-20 years,Total,Woodland hardwoods group,184816717.00,5467754.00,33.80
Georgia,0-20 years,Total,Oak_hickory group,57295132.00,1694201.00,33.82
Kentucky,0-20 years,Natural,Elm_ash_cottonwood_group,1245476.00,36750.00,33.89
Kentucky,Total,Planted,White_red_jack_pine_group,164706.00,4844.00,34.00
Alabama,41-60 years,Natural,Other_eastern_softwoods_group,377308.00,11092.00,34.02
Alabama,41-60 years,Total,Other_eastern_softwoods_group,377308.00,11092.00,34.02
Tennessee,0-20 years,Total,Oak_pine_group,5560583.00,163386.00,34.03
Georgia,0-20 years,Natural,Oak_hickory group,52169320.00,1529897.00,34.10
Texas,Total,Total,Oak_hickory group,435187216.00,12733398.00,34.18
Texas,Total,Natural,Oak_hickory group,433572458.00,12677884.00,34.20
Tennessee,0-20 years,Total,Elm_ash_cottonwood_group,6124788.00,178459.00,34.32
Alabama,21-40 years,Natural,Other_eastern_softwoods_group,1288908.00,37485.00,34.39
Alabama,21-40 years,Total,Other_eastern_softwoods_group,1288908.00,37485.00,34.39
Texas,0-20 years,Total,Oak_pine group,15963535.00,463886.00,34.41
Tennessee,0-20 years,Natural,Total,50176922.00,1456816.00,34.44
Mississippi,0-20 years,Planted,Oak_pine_group,7158006.00,207768.00,34.45
Tennessee,0-20 years,Natural,Elm_ash_cottonwood_group,5974606.00,172629.00,34.61
Georgia,Total,Natural,Other eastern softwoods group,537011.00,15498.00,34.65
Georgia,Total,Total,Other eastern softwoods group,537011.00,15498.00,34.65
Louisiana,0-20 years,Total,Oak_pine_group,14650316.00,422679.00,34.66
Missouri,0-20 years,Natural,Other eastern softwoods group,1178986.00,34008.00,34.67
Missouri,0-20 years,Total,Other eastern softwoods group,1178986.00,34008.00,34.67
Kentucky,Total,Planted,Total,1992857.00,57484.00,34.67
Texas,100+ years,Natural,Other eastern softwoods group,516803.00,14890.00,34.71
Texas,100+ years,Total,Other eastern softwoods group,516803.00,14890.00,34.71
Arkansas,0-20 years,Planted,Oak_gum_cypress_group,4279162.00,122831.00,34.84
Virginia,Total,Planted,Oak_hickory group,4165331.00,119447.00,34.87
Texas,81-100 years,Natural,Pinyon_juniper group,10057959.00,288088.00,34.91
Texas,81-100 years,Total,Pinyon_juniper group,10057959.00,288088.00,34.91
Louisiana,0-20 years,Total,Oak_gum_cypress_group,16508712.00,472642.00,34.93
Texas,0-20 years,Total,Oak_gum_cypress group,13880218.00,396208.00,35.03
Arkansas,0-20 years,Natural,Oak_pine_group,6437372.00,183674.00,35.05
Texas,81-100 years,Natural,Other eastern softwoods group,755222.00,21530.00,35.08
Texas,81-100 years,Total,Other eastern softwoods group,755222.00,21530.00,35.08
Kentucky,0-20 years,Total,Elm_ash_cottonwood_group,1852490.00,52809.00,35.08
Arkansas,0-20 years,Natural,Other_hardwoods_group,309012.00,8801.00,35.11
Arkansas,0-20 years,Total,Other_hardwoods_group,309012.00,8801.00,35.11
Louisiana,21-40 years,Planted,Oak_hickory_group,48930.00,1392.00,35.15
