State,Stand_Age,Stand_Origin,Forest type group,tC,ac,tC_ac
Tennessee,81-100 years,Natural,Other hardwoods group,541623,8307,65.2
Tennessee,81-100 years,Total,Other hardwoods group,541623,8307,65.2
Tennessee,61-80 years,Total,Oak pine group,17755990,272325,65.2
Tennessee,21-40 years,Planted,White red jack pine group,254426,3819,66.63
Tennessee,61-80 years,Total,Maple beech birch group,7869642,117628,66.9
Tennessee,61-80 years,Natural,Maple beech birch group,7768905,116046,66.95
Tennessee,41-60 years,Natural,Loblolly shortleaf pine group,6912027,102995,67.11
Tennessee,21-40 years,Total,White red jack pine group,330570,4874,67.82
Tennessee,81-100 years,Natural,Oak pine group,5132214,74672,68.73
Tennessee,81-100 years,Total,Oak pine group,5132214,74672,68.73
Tennessee,Total,Total,Maple beech birch group,25347324,366686,69.13
Tennessee,Total,Natural,Maple beech birch group,25246587,365103,69.15
Tennessee,61-80 years,Natural,Total,332716837,4788634,69.48
Tennessee,61-80 years,Total,Total,334787284,4814570,69.54
Tennessee,61-80 years,Natural,Oak hickory group,268430888,3857341,69.59
Tennessee,61-80 years,Total,Oak hickory group,268430888,3857341,69.59
Tennessee,41-60 years,Total,Loblolly shortleaf pine group,8161767,115753,70.51
Tennessee,100+ years,Natural,Oak pine group,1325973,18788,70.57
Tennessee,100+ years,Total,Oak pine group,1325973,18788,70.57
Tennessee,41-60 years,Natural,Oak gum cypress group,5737339,80451,71.31
Tennessee,41-60 years,Total,Oak gum cypress group,5737339,80451,71.31
Tennessee,61-80 years,Natural,Loblolly shortleaf pine group,7503657,104792,71.61
Tennessee,21-40 years,Natural,White red jack pine group,76144,1055,72.15
Tennessee,61-80 years,Natural,Exotic hardwoods group,590831,8165,72.36
Tennessee,61-80 years,Total,Exotic hardwoods group,590831,8165,72.36
Tennessee,61-80 years,Total,Loblolly shortleaf pine group,9125540,125380,72.78
Tennessee,81-100 years,Natural,Oak hickory group,141968532,1910500,74.31
Tennessee,81-100 years,Total,Oak hickory group,141968532,1910500,74.31
Tennessee,81-100 years,Natural,Total,170404450,2276259,74.86
Tennessee,81-100 years,Total,Total,170404450,2276259,74.86
Tennessee,100+ years,Natural,Maple beech birch group,3080735,40732,75.63
Tennessee,100+ years,Total,Maple beech birch group,3080735,40732,75.63
Tennessee,61-80 years,Natural,Other hardwoods group,1196206,15697,76.2
Tennessee,61-80 years,Total,Other hardwoods group,1196206,15697,76.2
Tennessee,81-100 years,Natural,Loblolly shortleaf pine group,1997893,25874,77.22
Tennessee,81-100 years,Total,Loblolly shortleaf pine group,1997893,25874,77.22
Tennessee,81-100 years,Natural,Maple beech birch group,8107206,103893,78.03
Tennessee,81-100 years,Total,Maple beech birch group,8107206,103893,78.03
Tennessee,Total,Total,Oak gum cypress group,28483844,363114,78.44
Tennessee,61-80 years,Planted,Loblolly shortleaf pine group,1621884,20588,78.78
Tennessee,100+ years,Natural,Oak hickory group,30216250,380485,79.42
