State,Stand_Age,Stand_Origin,Forest type group,tC,ac,tC_ac
Florida,41-60 years,Natural,Tropical hardwoods group,21643253,224053,96.6
Florida,41-60 years,Total,Tropical hardwoods group,21643253,224053,96.6
Florida,Total,Total,Tropical hardwoods group,69249067,715337,96.81
Florida,Total,Natural,Tropical hardwoods group,69129319,713853,96.84
Florida,21-40 years,Natural,Exotic hardwoods group,2085657,21495,97.03
Florida,21-40 years,Total,Exotic hardwoods group,2085657,21495,97.03
Florida,81-100 years,Natural,Loblolly shortleaf pine group,2172608,22303,97.41
Florida,81-100 years,Total,Loblolly shortleaf pine group,2172608,22303,97.41
Florida,81-100 years,Planted,Longleaf slash pine group,695479,7064,98.46
Florida,81-100 years,Planted,Total,695479,7064,98.46
Florida,61-80 years,Natural,Elm ash cottonwood group,1066859,10616,100.5
Florida,61-80 years,Total,Elm ash cottonwood group,1066859,10616,100.5
Florida,100+ years,Natural,Tropical hardwoods group,614622,5933,103.59
Florida,100+ years,Total,Tropical hardwoods group,614622,5933,103.59
Florida,41-60 years,Natural,Oak gum cypress group,88857414,840042,105.78
Florida,41-60 years,Total,Oak gum cypress group,88857414,840042,105.78
Florida,81-100 years,Total,Total,135444774,1269730,106.67
Florida,81-100 years,Natural,Total,134749295,1262666,106.72
Florida,Total,Natural,Other hardwoods group,2921761,26688,109.48
Florida,Total,Total,Other hardwoods group,2921761,26688,109.48
Florida,Total,Total,Oak gum cypress group,420708340,3779558,111.31
Florida,Total,Natural,Oak gum cypress group,416274506,3721170,111.87
Florida,61-80 years,Natural,Tropical hardwoods group,9535866,82678,115.34
Florida,61-80 years,Total,Tropical hardwoods group,9535866,82678,115.34
Florida,100+ years,Natural,Total,52512962,445670,117.83
Florida,100+ years,Total,Total,52512962,445670,117.83
Florida,61-80 years,Natural,Oak gum cypress group,124699321,1055123,118.18
Florida,61-80 years,Total,Oak gum cypress group,124699321,1055123,118.18
Florida,81-100 years,Natural,Tropical hardwoods group,7423156,61390,120.92
Florida,81-100 years,Total,Tropical hardwoods group,7423156,61390,120.92
Florida,61-80 years,Natural,Other hardwoods group,1976760,15781,125.26
Florida,61-80 years,Total,Other hardwoods group,1976760,15781,125.26
Florida,81-100 years,Natural,Oak gum cypress group,85492797,667543,128.07
Florida,81-100 years,Total,Oak gum cypress group,85492797,667543,128.07
Florida,100+ years,Natural,Oak gum cypress group,41018430,298399,137.46
Florida,100+ years,Total,Oak gum cypress group,41018430,298399,137.46
Florida,41-60 years,Planted,Oak hickory group,11228,70,159.43
Florida,0-20 years,Planted,Elm ash cottonwood group,-,-,-
Florida,0-20 years,Planted,Other eastern softwoods group,-,-,-
Florida,0-20 years,Planted,Other hardwoods group,-,-,-
Florida,100+ years,Natural,Elm ash cottonwood group,-,-,-
Florida,100+ years,Natural,Exotic hardwoods group,-,-,-
Florida,100+ years,Natural,Loblolly shortleaf pine group,-,-,-
Florida,100+ years,Natural,Nonstocked,-,-,-
Florida,100+ years,Natural,Other eastern softwoods group,-,-,-
Florida,100+ years,Natural,Other hardwoods group,-,-,-
Florida,100+ years,Planted,Elm ash cottonwood group,-,-,-
Florida,100+ years,Planted,Exotic hardwoods group,-,-,-
Florida,100+ years,Planted,Loblolly shortleaf pine group,-,-,-
Florida,100+ years,Planted,Longleaf slash pine group,-,-,-
Florida,100+ years,Planted,Nonstocked,-,-,-
Florida,100+ years,Planted,Oak gum cypress group,-,-,-
Florida,100+ years,Planted,Oak hickory group,-,-,-
Florida,100+ years,Planted,Oak pine group,-,-,-
Florida,100+ years,Planted,Other eastern softwoods group,-,-,-
Florida,100+ years,Planted,Other hardwoods group,-,-,-
Florida,100+ years,Planted,Total,-,-,-
Florida,100+ years,Planted,Tropical hardwoods group,-,-,-
Florida,100+ years,Total,Elm ash cottonwood group,-,-,-
Florida,100+ years,Total,Exotic hardwoods group,-,-,-
Florida,100+ years,Total,Loblolly shortleaf pine group,-,-,-
Florida,100+ years,Total,Nonstocked,-,-,-
Florida,100+ years,Total,Other eastern softwoods group,-,-,-
Florida,100+ years,Total,Other hardwoods group,-,-,-
Florida,21-40 years,Natural,Nonstocked,-,-,-
Florida,21-40 years,Natural,Other eastern softwoods group,-,-,-
Florida,21-40 years,Natural,Other hardwoods group,-,-,-
Florida,21-40 years,Planted,Elm ash cottonwood group,-,-,-
Florida,21-40 years,Planted,Exotic hardwoods group,-,-,-
Florida,21-40 years,Planted,Nonstocked,-,-,-
Florida,21-40 years,Planted,Other eastern softwoods group,-,-,-
Florida,21-40 years,Planted,Other hardwoods group,-,-,-
Florida,21-40 years,Planted,Tropical hardwoods group,-,-,-
Florida,21-40 years,Total,Nonstocked,-,-,-
Florida,21-40 years,Total,Other eastern softwoods group,-,-,-
Florida,21-40 years,Total,Other hardwoods group,-,-,-
Florida,41-60 years,Natural,Nonstocked,-,-,-
Florida,41-60 years,Natural,Other hardwoods group,-,-,-
Florida,41-60 years,Planted,Elm ash cottonwood group,-,-,-
Florida,41-60 years,Planted,Exotic hardwoods group,-,-,-
Florida,41-60 years,Planted,Nonstocked,-,-,-
Florida,41-60 years,Planted,Oak gum cypress group,-,-,-
Florida,41-60 years,Planted,Oak pine group,-,-,-
Florida,41-60 years,Planted,Other eastern softwoods group,-,-,-
Florida,41-60 years,Planted,Other hardwoods group,-,-,-
Florida,41-60 years,Planted,Tropical hardwoods group,-,-,-
Florida,41-60 years,Total,Nonstocked,-,-,-
Florida,41-60 years,Total,Other hardwoods group,-,-,-
Florida,61-80 years,Natural,Exotic hardwoods group,-,-,-
Florida,61-80 years,Natural,Nonstocked,-,-,-
Florida,61-80 years,Planted,Elm ash cottonwood group,-,-,-
Florida,61-80 years,Planted,Exotic hardwoods group,-,-,-
Florida,61-80 years,Planted,Loblolly shortleaf pine group,-,-,-
