Measurement,Type,State,Forest type,Total,0-20 years,21-40 years,41-60 years,61-80 years,81-100 years,100-120 years,121-140 years,141-160 years,161-180 years,181-200 years,500+ years
acres,ALL,AL,Total,23135426.00,8893434.00,5947402.00,4074896.00,3313066.00,787507.00,113204.00,5916.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Eastern hemlock,16641.00,0.00,6058.00,4161.00,1393.00,0.00,5029.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Longleaf pine,714367.00,327133.00,81928.00,128430.00,124595.00,52280.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Slash pine,375417.00,54074.00,132391.00,119894.00,66329.00,2729.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Loblolly pine,8827491.00,4736769.00,3108063.00,631018.00,309377.00,42264.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Shortleaf pine,102573.00,15722.00,10567.00,43395.00,28343.00,4546.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Virginia pine,227197.00,66237.00,56048.00,57815.00,41025.00,1515.00,4558.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Spruce pine,19521.00,13612.00,2951.00,2958.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Eastern redcedar,76748.00,23617.00,32958.00,10665.00,8404.00,1105.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Eastern redcedar / hardwood,88715.00,32636.00,20495.00,30292.00,0.00,5293.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Longleaf pine / oak,144807.00,55267.00,5951.00,38153.00,40878.00,4558.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Shortleaf pine / oak,185309.00,18441.00,38842.00,53316.00,58642.00,16068.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Virginia pine / southern red oak,98643.00,6273.00,12711.00,60026.00,16527.00,3105.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Loblolly pine / hardwood,2104402.00,861139.00,543349.00,414141.00,263032.00,18084.00,4657.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Slash pine / hardwood,133721.00,8975.00,33260.00,39512.00,40586.00,10467.00,921.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Other pine / hardwood,59551.00,6925.00,2915.00,25232.00,18563.00,5916.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Post oak / blackjack oak,222856.00,30740.00,25842.00,57107.00,89329.00,19837.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Chestnut oak,275102.00,12221.00,17665.00,73222.00,123253.00,42664.00,6078.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,White oak / red oak / hickory,1552324.00,182134.00,188884.00,371935.00,559119.00,225867.00,24385.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,White oak,161773.00,18862.00,15213.00,48124.00,46601.00,20207.00,12766.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Northern red oak,10481.00,3030.00,0.00,7451.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Yellow-poplar / white oak / northern red oak,446636.00,106043.00,85878.00,109532.00,101511.00,43671.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Sassafras / persimmon,107011.00,77417.00,15887.00,13707.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Sweetgum / yellow-poplar,1001570.00,349872.00,232408.00,247545.00,132109.00,30702.00,8934.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Scarlet oak,6063.00,1515.00,3029.00,0.00,1519.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Yellow-poplar,118362.00,26572.00,54948.00,18449.00,16878.00,1515.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Black locust,4544.00,0.00,0.00,0.00,4544.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Southern scrub oak,18502.00,5830.00,1528.00,5951.00,0.00,5194.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Chestnut oak / black oak / scarlet oak,283275.00,21741.00,32103.00,80219.00,107343.00,29601.00,12268.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Cherry / white ash / yellow-poplar,183996.00,102290.00,45147.00,17880.00,12649.00,6030.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Elm / ash / black locust,148234.00,76251.00,30424.00,25603.00,11411.00,4545.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Red maple / oak,39151.00,25525.00,1552.00,10530.00,1543.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Mixed upland hardwoods,2386332.00,893559.00,548375.00,567167.00,308161.00,58263.00,10806.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Swamp chestnut oak / cherrybark oak,128079.00,13840.00,7790.00,21002.00,72096.00,13351.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Sweetgum / Nuttall oak / willow oak,923854.00,146176.00,193212.00,244404.00,285375.00,44497.00,10191.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Overcup oak / water hickory,105259.00,14560.00,4660.00,47185.00,34417.00,0.00,4437.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Baldcypress / water tupelo,196530.00,14817.00,11715.00,48960.00,89784.00,25194.00,6060.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Sweetbay / swamp tupelo / red maple,826190.00,187485.00,165983.00,247746.00,186928.00,30017.00,2115.00,5916.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Baldcypress / pondcypress,1507.00,0.00,0.00,0.00,0.00,1507.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,River birch / sycamore,91402.00,17742.00,30478.00,32464.00,10717.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Cottonwood,5887.00,5887.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Willow,14627.00,11044.00,3583.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Sycamore / pecan / American elm,163770.00,54401.00,33858.00,26321.00,40209.00,8981.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Sugarberry / hackberry / elm / green ash,291435.00,63116.00,86126.00,82530.00,55218.00,4445.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Silver maple / American elm,339.00,0.00,0.00,339.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Red maple / lowland,21197.00,10516.00,6024.00,0.00,4657.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Cottonwood / willow,6030.00,0.00,6030.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Other hardwoods,8031.00,1543.00,1519.00,1479.00,0.00,3489.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Paulownia,2995.00,0.00,2995.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Other exotic hardwoods,48799.00,33704.00,6060.00,9036.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AL,Nonstocked,158182.00,158182.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Total,15636433.00,3932296.00,3532563.00,3965277.00,3299669.00,787507.00,113204.00,5916.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Eastern hemlock,16641.00,0.00,6058.00,4161.00,1393.00,0.00,5029.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Longleaf pine,401332.00,47540.00,53515.00,123401.00,124595.00,52280.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Slash pine,235941.00,11008.00,44870.00,111005.00,66329.00,2729.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Loblolly pine,2714295.00,887470.00,932229.00,556352.00,295980.00,42264.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Shortleaf pine,92065.00,6729.00,10567.00,41880.00,28343.00,4546.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Virginia pine,209007.00,54107.00,56048.00,51755.00,41025.00,1515.00,4558.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Spruce pine,19521.00,13612.00,2951.00,2958.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Eastern redcedar,59675.00,8023.00,31479.00,10665.00,8404.00,1105.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Eastern redcedar / hardwood,85746.00,29668.00,20495.00,30292.00,0.00,5293.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Longleaf pine / oak,98110.00,13092.00,5951.00,33631.00,40878.00,4558.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Shortleaf pine / oak,183824.00,18441.00,37358.00,53316.00,58642.00,16068.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Virginia pine / southern red oak,98643.00,6273.00,12711.00,60026.00,16527.00,3105.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Loblolly pine / hardwood,1637044.00,489209.00,456859.00,405203.00,263032.00,18084.00,4657.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Slash pine / hardwood,129268.00,4522.00,33260.00,39512.00,40586.00,10467.00,921.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Other pine / hardwood,59551.00,6925.00,2915.00,25232.00,18563.00,5916.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Post oak / blackjack oak,215931.00,23815.00,25842.00,57107.00,89329.00,19837.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Chestnut oak,271997.00,9116.00,17665.00,73222.00,123253.00,42664.00,6078.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,White oak / red oak / hickory,1514599.00,144408.00,188884.00,371935.00,559119.00,225867.00,24385.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,White oak,155563.00,12653.00,15213.00,48124.00,46601.00,20207.00,12766.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Northern red oak,10481.00,3030.00,0.00,7451.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Yellow-poplar / white oak / northern red oak,439123.00,98530.00,85878.00,109532.00,101511.00,43671.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Sassafras / persimmon,97580.00,67986.00,15887.00,13707.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Sweetgum / yellow-poplar,944749.00,304941.00,220518.00,247545.00,132109.00,30702.00,8934.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Scarlet oak,6063.00,1515.00,3029.00,0.00,1519.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Yellow-poplar,116847.00,25057.00,54948.00,18449.00,16878.00,1515.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Black locust,4544.00,0.00,0.00,0.00,4544.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Southern scrub oak,16974.00,5830.00,0.00,5951.00,0.00,5194.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Chestnut oak / black oak / scarlet oak,275247.00,15228.00,30588.00,80219.00,107343.00,29601.00,12268.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Cherry / white ash / yellow-poplar,175862.00,94156.00,45147.00,17880.00,12649.00,6030.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Elm / ash / black locust,146681.00,74699.00,30424.00,25603.00,11411.00,4545.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Red maple / oak,32963.00,19338.00,1552.00,10530.00,1543.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Mixed upland hardwoods,2267841.00,786321.00,537122.00,567167.00,308161.00,58263.00,10806.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Swamp chestnut oak / cherrybark oak,121164.00,6925.00,7790.00,21002.00,72096.00,13351.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Sweetgum / Nuttall oak / willow oak,897586.00,125824.00,187296.00,244404.00,285375.00,44497.00,10191.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Overcup oak / water hickory,105259.00,14560.00,4660.00,47185.00,34417.00,0.00,4437.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Baldcypress / water tupelo,190701.00,8988.00,11715.00,48960.00,89784.00,25194.00,6060.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Sweetbay / swamp tupelo / red maple,815736.00,177032.00,165983.00,247746.00,186928.00,30017.00,2115.00,5916.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Baldcypress / pondcypress,1507.00,0.00,0.00,0.00,0.00,1507.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,River birch / sycamore,91402.00,17742.00,30478.00,32464.00,10717.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Cottonwood,5887.00,5887.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Willow,14627.00,11044.00,3583.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Sycamore / pecan / American elm,141263.00,31894.00,33858.00,26321.00,40209.00,8981.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Sugarberry / hackberry / elm / green ash,285602.00,57283.00,86126.00,82530.00,55218.00,4445.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Silver maple / American elm,339.00,0.00,0.00,339.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Red maple / lowland,19682.00,10516.00,4509.00,0.00,4657.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Cottonwood / willow,6030.00,0.00,6030.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Other hardwoods,8031.00,1543.00,1519.00,1479.00,0.00,3489.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Paulownia,2995.00,0.00,2995.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Other exotic hardwoods,47355.00,32259.00,6060.00,9036.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AL,Nonstocked,147557.00,147557.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,AL,Total,7498994.00,4961138.00,2414839.00,109620.00,13397.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,AL,Longleaf pine,313035.00,279593.00,28414.00,5029.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,AL,Slash pine,139476.00,43065.00,87521.00,8890.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,AL,Loblolly pine,6113196.00,3849299.00,2175834.00,74665.00,13397.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,AL,Shortleaf pine,10508.00,8993.00,0.00,1515.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,AL,Virginia pine,18190.00,12130.00,0.00,6060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,AL,Eastern redcedar,17073.00,15594.00,1479.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,AL,Eastern redcedar / hardwood,2969.00,2969.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,AL,Longleaf pine / oak,46697.00,42175.00,0.00,4522.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,AL,Shortleaf pine / oak,1484.00,0.00,1484.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,AL,Loblolly pine / hardwood,467357.00,371929.00,86490.00,8938.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,AL,Slash pine / hardwood,4453.00,4453.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,AL,Post oak / blackjack oak,6925.00,6925.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,AL,Chestnut oak,3105.00,3105.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,AL,White oak / red oak / hickory,37725.00,37725.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,AL,White oak,6210.00,6210.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,AL,Yellow-poplar / white oak / northern red oak,7513.00,7513.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,AL,Sassafras / persimmon,9431.00,9431.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,AL,Sweetgum / yellow-poplar,56820.00,44931.00,11890.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,AL,Yellow-poplar,1515.00,1515.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,AL,Southern scrub oak,1528.00,0.00,1528.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,AL,Chestnut oak / black oak / scarlet oak,8028.00,6513.00,1515.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,AL,Cherry / white ash / yellow-poplar,8134.00,8134.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,AL,Elm / ash / black locust,1552.00,1552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,AL,Red maple / oak,6187.00,6187.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,AL,Mixed upland hardwoods,118491.00,107238.00,11253.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,AL,Swamp chestnut oak / cherrybark oak,6915.00,6915.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,AL,Sweetgum / Nuttall oak / willow oak,26268.00,20352.00,5916.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,AL,Baldcypress / water tupelo,5830.00,5830.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,AL,Sweetbay / swamp tupelo / red maple,10454.00,10454.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,AL,Sycamore / pecan / American elm,22506.00,22506.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,AL,Sugarberry / hackberry / elm / green ash,5833.00,5833.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,AL,Red maple / lowland,1515.00,0.00,1515.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,AL,Other exotic hardwoods,1445.00,1445.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,PLANTED,AL,Nonstocked,10625.00,10625.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,Total,19002471.00,4068825.00,3403344.00,4951112.00,5292717.00,1252368.00,30035.00,0.00,4071.00,0.00,0.00,0.00
acres,ALL,AR,Loblolly pine,4688937.00,2138227.00,1654321.00,778460.00,105346.00,12582.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,Shortleaf pine,1200163.00,52382.00,202794.00,283150.00,495550.00,159502.00,6786.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,Virginia pine,1598.00,0.00,1598.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,Eastern redcedar,277684.00,16166.00,85186.00,127788.00,48544.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,Juniper woodland,15602.00,0.00,0.00,1606.00,7570.00,6426.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,Eastern redcedar / hardwood,375442.00,62968.00,76653.00,134223.00,86039.00,15559.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,Shortleaf pine / oak,789194.00,33286.00,76818.00,217910.00,325646.00,135535.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,Loblolly pine / hardwood,724483.00,257867.00,133490.00,232062.00,94998.00,6067.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,Post oak / blackjack oak,1356403.00,88296.00,91528.00,549513.00,541871.00,81154.00,4041.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,White oak / red oak / hickory,3594081.00,189483.00,250941.00,945978.00,1785021.00,406517.00,16141.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,White oak,813731.00,16084.00,11064.00,183039.00,461914.00,141630.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,Northern red oak,177896.00,0.00,4688.00,23379.00,95887.00,53942.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,Yellow-poplar / white oak / northern red oak,12988.00,0.00,6203.00,0.00,6786.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,Sassafras / persimmon,154495.00,79835.00,47553.00,19072.00,8035.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,Sweetgum / yellow-poplar,396487.00,107675.00,76060.00,150413.00,39048.00,23291.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,Yellow-poplar,1696.00,0.00,0.00,1696.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,Black walnut,4439.00,0.00,4439.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,Black locust,6426.00,4819.00,0.00,0.00,1606.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,Chestnut oak / black oak / scarlet oak,33974.00,12026.00,11306.00,7737.00,2905.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,Cherry / white ash / yellow-poplar,39115.00,10906.00,16029.00,4638.00,7542.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,Elm / ash / black locust,96647.00,40287.00,29141.00,20096.00,7123.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,Red maple / oak,30437.00,14501.00,0.00,7546.00,8391.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,Mixed upland hardwoods,1051409.00,291334.00,221019.00,293184.00,207051.00,38820.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,Swamp chestnut oak / cherrybark oak,235137.00,12113.00,19543.00,84730.00,94479.00,24272.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,Sweetgum / Nuttall oak / willow oak,1124015.00,242109.00,121834.00,355693.00,350905.00,53474.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,Overcup oak / water hickory,316253.00,18073.00,33828.00,67547.00,150841.00,45965.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,Baldcypress / water tupelo,235717.00,0.00,13777.00,60883.00,133585.00,20333.00,3067.00,0.00,4071.00,0.00,0.00,0.00
acres,ALL,AR,Sweetbay / swamp tupelo / red maple,89965.00,7862.00,12009.00,47303.00,21241.00,1551.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,River birch / sycamore,82598.00,8027.00,15296.00,43313.00,9759.00,6203.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,Cottonwood,22954.00,3540.00,5935.00,7543.00,5936.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,Willow,78326.00,24585.00,26634.00,19452.00,7655.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,Sycamore / pecan / American elm,172696.00,36841.00,28655.00,58130.00,47834.00,1237.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,Sugarberry / hackberry / elm / green ash,574185.00,134500.00,104897.00,190227.00,126251.00,18310.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,Silver maple / American elm,18444.00,4439.00,5069.00,5978.00,2959.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,Red maple / lowland,10968.00,0.00,0.00,10968.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,Cottonwood / willow,15814.00,0.00,5428.00,10386.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,Other hardwoods,30267.00,8791.00,9610.00,7469.00,4398.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,Other exotic hardwoods,242.00,242.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,ALL,AR,Nonstocked,151563.00,151563.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AR,Total,15486791.00,1770933.00,2316776.00,4836766.00,5280841.00,1247370.00,30035.00,0.00,4071.00,0.00,0.00,0.00
acres,NATURAL,AR,Loblolly pine,1811444.00,338231.00,688049.00,683378.00,94203.00,7584.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AR,Shortleaf pine,1098477.00,21481.00,148488.00,266670.00,495550.00,159502.00,6786.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AR,Virginia pine,1598.00,0.00,1598.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AR,Eastern redcedar,277684.00,16166.00,85186.00,127788.00,48544.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AR,Juniper woodland,15602.00,0.00,0.00,1606.00,7570.00,6426.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AR,Eastern redcedar / hardwood,366512.00,56996.00,73696.00,134223.00,86039.00,15559.00,0.00,0.00,0.00,0.00,0.00,0.00
acres,NATURAL,AR,Shortleaf pine / oak,777890.00,33286.00,65514.00,217910.00,325646.00,135535.00,0.00,0.00,0.00,0.00,0.00,0.00
